Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
GAME001,Alice,Select Question,2025-11-26T18:05:48,Variables & Data Types,100,,,0
GAME001,Alice,Answer Question,2025-11-26T18:05:48,Variables & Data Types,100,C,Incorrect,0
GAME001,Bob,Select Question,2025-11-26T18:05:48,Variables & Data Types,200,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,Variables & Data Types,200,C,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,Variables & Data Types,300,,,0
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,Variables & Data Types,300,A,Correct,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,Variables & Data Types,400,,,0
GAME001,Diana,Answer Question,2025-11-26T18:05:48,Variables & Data Types,400,A,Incorrect,0
GAME001,Alice,Select Question,2025-11-26T18:05:48,Variables & Data Types,500,,,0
GAME001,Alice,Answer Question,2025-11-26T18:05:48,Variables & Data Types,500,B,Correct,500
GAME001,Bob,Select Question,2025-11-26T18:05:48,Control Structures,100,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,Control Structures,100,B,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,Control Structures,200,,,300
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,Control Structures,200,D,Incorrect,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,Control Structures,300,,,0
GAME001,Diana,Answer Question,2025-11-26T18:05:48,Control Structures,300,A,Incorrect,0
GAME001,Alice,Select Question,2025-11-26T18:05:48,Control Structures,400,,,500
GAME001,Alice,Answer Question,2025-11-26T18:05:48,Control Structures,400,D,Correct,900
GAME001,Bob,Select Question,2025-11-26T18:05:48,Control Structures,500,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,Control Structures,500,A,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,Functions,100,,,300
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,Functions,100,C,Incorrect,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,Functions,200,,,0
GAME001,Diana,Answer Question,2025-11-26T18:05:48,Functions,200,A,Incorrect,0
GAME001,Alice,Select Question,2025-11-26T18:05:48,Functions,300,,,900
GAME001,Alice,Answer Question,2025-11-26T18:05:48,Functions,300,D,Incorrect,900
GAME001,Bob,Select Question,2025-11-26T18:05:48,Functions,400,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,Functions,400,C,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,Functions,500,,,300
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,Functions,500,C,Incorrect,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,Arrays,100,,,0
GAME001,Diana,Answer Question,2025-11-26T18:05:48,Arrays,100,A,Correct,100
GAME001,Alice,Select Question,2025-11-26T18:05:48,Arrays,200,,,900
GAME001,Alice,Answer Question,2025-11-26T18:05:48,Arrays,200,C,Incorrect,900
GAME001,Bob,Select Question,2025-11-26T18:05:48,Arrays,300,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,Arrays,300,D,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,Arrays,400,,,300
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,Arrays,400,A,Incorrect,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,Arrays,500,,,100
GAME001,Diana,Answer Question,2025-11-26T18:05:48,Arrays,500,B,Correct,600
GAME001,Alice,Select Question,2025-11-26T18:05:48,File Handling,100,,,900
GAME001,Alice,Answer Question,2025-11-26T18:05:48,File Handling,100,B,Incorrect,900
GAME001,Bob,Select Question,2025-11-26T18:05:48,File Handling,200,,,0
GAME001,Bob,Answer Question,2025-11-26T18:05:48,File Handling,200,D,Incorrect,0
GAME001,Charlie,Select Question,2025-11-26T18:05:48,File Handling,300,,,300
GAME001,Charlie,Answer Question,2025-11-26T18:05:48,File Handling,300,B,Incorrect,300
GAME001,Diana,Select Question,2025-11-26T18:05:48,File Handling,400,,,600
GAME001,Diana,Answer Question,2025-11-26T18:05:48,File Handling,400,A,Incorrect,600
GAME001,Alice,Select Question,2025-11-26T18:05:48,File Handling,500,,,900
GAME001,Alice,Answer Question,2025-11-26T18:05:48,File Handling,500,D,Incorrect,900
